artTitle,llm_class
情報慟特斯拉二手價跌好多,產品性價格面
問題特斯拉久了會掉電嗎,使用者體驗
新聞開特斯拉滑手機被勸嗆網友有毛,投訴方面
討論是不是真的有些四輪覺得自己是大爺,使用者體驗
新聞美國汽車召回排名揭曉第一名超過,產品性價格面
新聞美國汽車召回排名揭曉第一名超過,使用者體驗
新聞美國汽車召回排名揭曉第一名超過,產品性價格面
新聞又是破紀錄的一年特斯拉年交車,產品性價格面
情報年月份臺灣汽車市場銷售報告,使用者體驗
新聞人奇蹟生還特斯拉衝破公路圍欄墜,安全性能面
新聞和泰汽車連續年稱霸台灣車市銷售,投訴方面
分享電動車排行榜,使用者體驗
新聞特斯拉誇大續航力南韓裁罰億韓元,安全性能面
新聞誠實為上主動告知在這條件,產品性價格面
新聞史上最便宜中國國產特斯拉大降價,產品性價格面
新聞特斯拉跳水大降價台灣大陸,產品性價格面
新聞特斯拉跳水大降價台灣大陸,產品性價格面
新聞國道電動車充電站第三期準備招標個服,配套方面
新聞日韓大陸都降價台灣,產品性價格面
情報英國,使用者體驗
新聞全年銷量稱霸澳洲中型房車類別,產品性價格面
問題特斯拉扯著是不是比較少改車啊,使用者體驗
新聞特斯拉再降價扮陸價格屠夫車主怒喊,產品性價格面
新聞南韓特斯拉送修起火灌救小時才撲滅,安全性能面
新聞中國大降價特斯拉台灣目前沒有價格調,產品性價格面
新聞未來趨勢軟體在汽車的影響,產品性價格面
問題怎麼調適買錯車的心情,使用者體驗
討論不看看外型就知道的品牌,使用者體驗
問題有鄉民去麗寶賽車過嗎,使用者體驗
新聞公佈年各類別獲獎最高分車,產品性價格面
討論萬買還是神,產品性價格面與使用者體驗
新聞特斯拉車主衝店抗議大砍價結果看太便,投訴方面、產品性價格面、使用者體驗
分享中國品牌汽車銷量排行,使用者體驗
討論該還納智捷一個公道了吧,產品性價格面
問題該選誰,使用者體驗、產品性價格面、安全性能面
問題該選誰,使用者體驗
問題該選誰,使用者體驗
電車美國特斯拉售價大跳水囉,產品性價格面
問題該選誰,使用者體驗
討論再來不能用中國製當藉口的吧,使用者體驗
新聞開啟的在快速道路上自,投訴方面
新聞快訊特斯拉又降價北美最高降萬,產品性價格面
新聞特斯拉自駕系統出包舊金山車連環撞,安全性能面
討論特斯拉也適用早買早享受晚買享折扣,產品性價格面
問題該選誰,產品性價格面
討論特斯拉也適用早買早享受晚買享折扣,產品性價格面
問題電車刁車怎麼辦,使用者體驗
轉錄台灣是不是該重新審視一下車價的問題啊,使用者體驗
轉錄台灣是不是該重新審視一下車價的問題啊,產品性價格面
問題賓士電動車可以充特斯拉超充嗎,使用者體驗
新聞歐洲車廠執行長語出驚人高呼電動車會殺死休旅車,使用者體驗
新聞特斯拉美國大降價台灣跟進官方回,產品性價格面、使用者體驗、投訴方面
新聞特斯拉破盤降價車主變盤子氣炸這輩,產品性價格面
電車馬達為日本電產供應,使用者體驗、產品性價格面
新聞收一輛特斯拉虧萬二手車商掛海報拒收,投訴方面
新聞特斯拉性能版煞車不性能網友,安全性能面
新聞國內首例特斯拉突大降價車主認欺瞞求償,投訴方面、產品性價格面、使用者體驗、安全性能面
分享美國開箱,產品性價格面、使用者體驗、安全性能面
討論開豪車跑業務觀感好還不好,使用者體驗
問題純電車的續航力要到多少才算綽綽有餘,產品性價格面
新聞收一輛特斯拉虧萬二手車商掛海報拒收,投訴方面、產品性價格面、安全性能面、使用者體驗
新聞國外特斯拉新車降幅最高台灣成,產品性價格面
分享英國銷售排行,產品性價格面和使用者體驗
討論特斯拉是被台灣市場慣壞的嗎,產品性價格面
討論特斯拉是被台灣市場慣壞的嗎,產品性價格面
討論特斯拉是被台灣市場慣壞的嗎,使用者體驗、產品性價格面、產品性價格面、安全性能面、投訴方面
新聞年度突破萬輛電動車銷售,使用者體驗
問題不是號稱首批分鐘完售嗎,使用者體驗
新聞工程師證實特斯拉自動駕駛宣傳影片造,安全性能面
討論車子有議價空間是不是才是正解,產品性價格面
討論特斯拉是被台灣市場慣壞的嗎,產品性價格面
討論特斯拉是被台灣市場慣壞的嗎,產品性價格面
問題為什麼台灣國產車可以一直漲價啊,產品性價格面
新聞影片造假工程師爆料年拍攝是用演,安全性能面
問題為什麼台灣國產車可以一直漲價啊,使用者體驗
新聞驚險特斯拉蛇行秒國道遇右車突切險,安全性能面
新聞出師不利豐田想提高電動車,投訴方面
分享年,使用者體驗
討論特斯拉全球大降價只有台灣等三國沒講,使用者體驗
討論特斯拉全球大降價只有台灣等三國沒降,使用者體驗
討論特斯拉全球大降價只有台灣等三國沒降,使用者體驗
新聞特斯拉買十天就故障疑緊急煞車害電腦,安全性能面
討論特斯拉全球大降價只有台灣等三國沒降,投訴方面
討論特斯拉全球大降價只有台灣等三國沒降,使用者體驗
討論特斯拉如果反向操作再漲五萬會怎樣,產品性價格面
新聞特斯拉大陸價格創歷史新低背後原因曝,產品性價格面
新聞特斯拉男喊爸過世想插隊充電遭拒,投訴方面、物流方面、產品性價格面、安全性能面、使用者體驗
新聞特斯拉男路中倒車機車男飆國罵春節街頭,投訴方面
問題連假十天的純電車使用心得,使用者體驗
新聞二手車商以後不敢收車新車大降價中古車崩盤跌,使用者體驗
新聞超越和特斯,產品性價格面
討論特斯拉之外最強的電車廠是誰,使用者體驗
新聞和台灣市場大不同年各國熱賣車款出爐,使用者體驗
新聞降幅最高美元美國調整,投訴方面
情報年月份臺灣汽車市場銷售報告,產品性價格面
問題後座空間類似的車款,使用者體驗
情報最可靠汽車品牌被擠下冠軍寶座,使用者體驗
新聞剛買不到周特斯拉上高速公路方向盤,使用者體驗、安全性能面
新聞剛買不到周特斯拉上高速公路方向盤,使用者體驗
心得汽油尊爵滿週年魔鬼篇,使用者體驗
問題連假十天的純電車使用心得,使用者體驗
電車台灣降價萬,使用者體驗
電車台灣降價萬,產品性價格面
電車台灣降價萬,使用者體驗
新聞開不到公里方向盤噴飛特斯拉認忘,使用者體驗
電車春節連假超充空位統計,使用者體驗
電車全台快充地圖,使用者體驗
新聞開不到公里方向盤噴飛特斯拉認忘,使用者體驗
新聞開不到公里方向盤噴飛特斯拉認忘,安全性能面
討論台灣降價的主因是大量退單嗎,使用者體驗
討論特斯拉以後風評會不會跟台奧一樣,使用者體驗
新聞開不到公里方向盤噴飛特斯拉認忘,使用者體驗
新聞特斯拉降價攻勢已歇車系美國,產品性價格面
新聞面對會員個資外流疑慮加強改善並誠,投訴方面、產品性價格面、使用者體驗、安全性能面
電車在美售價起,產品性價格面
問題智能車的綁定手機定位問題,使用者體驗
新聞再亂停啊電動車格遭佔位車主橫停擋去,使用者體驗
新聞再亂停啊電動車格遭佔位車主橫停擋去,使用者體驗
新聞福特野馬電線比預期需求長了公里,使用者體驗
新聞林志穎車禍復原駕電動車衝微博熱搜第一,使用者體驗
新聞中國本土電車品牌月銷量暴跌最高蒸發成,使用者體驗
轉錄中國汽車出口量超越德國躍居全球第二僅次於日本,使用者體驗
分享美國各車種最遠里程數的排名圖,使用者體驗
新聞躍動登場,使用者體驗
心得心得,使用者體驗
問題到底為什麼一定要開電動車,使用者體驗
討論馬自達是有多討厭後座啊新,使用者體驗
問題到底為什麼一定要開電動車,使用者體驗
新聞比亞迪今年銷量衝萬輛,產品性價格面
新聞特斯拉引發電動車價格戰掀起許多波瀾,使用者體驗、產品性價格面、安全性能面、物流方面
電車大量電動車到港,使用者體驗
市調汽車車主問卷座談會酬金元起,使用者體驗
新聞誰說在歐洲賣不好的,投訴方面
新聞酒駕特斯拉男撞倒路樹車頭全爛肇因曝光,安全性能面
新聞酒駕特斯拉男撞倒路樹車頭全爛肇因曝光,使用者體驗
新聞酒駕特斯拉男撞倒路樹車頭全爛肇因曝光,使用者體驗
新聞美國積極投入磷酸鐵鋰電池製造,產品性價格面
新聞酒駕特斯拉男撞倒路樹車頭全爛肇因,使用者體驗
新聞中國大降價廣汽豐田推出限時優惠,產品性價格面
新聞誰說在歐洲賣不好的,使用者體驗
新聞酒駕特斯拉男撞倒路樹車頭全爛肇因曝光,使用者體驗
新聞特斯拉不讓鳴笛救護車車主目擊錄影也都,使用者體驗
討論的車頭反而比較醜,使用者體驗
新聞同事沒坐過特斯拉酒駕載兜風自撞傷危,安全性能面
新聞銷量大跌超車全球銷售前十公,使用者體驗
新聞影不爽被按喇趴賓士惡煞持開山刀,安全性能面
電車電動車有沒有辦法開年呢,使用者體驗
